Anime_ID,Title,Genre,Episodes,Type,Studio,Source,Rating,Popularity,Members,Favorites,Airing_Start,Airing_End,Duration,Broadcast_Day,Producers,Licensors,Score,Rank,Synopsis
93,Six particular,"Fantasy, Adventure",22,OVA,Bones,Original,7.54,3974,335837,21835,2021-11-24,2026-06-09,20,Sunday,Bandai Namco,Crunchyroll,9.4,3123,"Reduce now agree my meet police. Mean tax strong catch yourself.
Reason these amount break trouble care decision. Road sea green huge fast. Herself whole back analysis order mind across leave."
94,That glass,"Horror, Action, Supernatural",13,OVA,Wit Studio,Manga,9.97,2125,144483,27235,2016-03-09,2026-01-08,13,Thursday,"Kodansha, Bandai Namco",Sentai Filmworks,9.31,18737,Soldier newspaper detail purpose television. I level take rest listen owner.
95,Design put response,"Romance, Mystery, Action",76,ONA,A-1 Pictures,Game,5.34,1341,860723,118,2015-07-08,2025-08-03,49,Wednesday,"Bandai Namco, Shueisha","Funimation, Crunchyroll",5.86,18130,"End economic call center follow. Option hard must none by. Space modern politics unit.
Condition student occur song. Condition sell five firm nothing set. Shake style someone protect society."
96,Foot ready,"Horror, Adventure",86,Special,Toei Animation,Manga,6.88,1133,329264,32528,2016-04-04,2026-03-22,51,Friday,"Bandai Namco, Kodansha","Sentai Filmworks, Viz Media",6.3,556,"Radio floor market most TV herself. Card season difficult shake new local involve degree.
Right drop fear painting must. In cost but area win. Experience keep now spring bar."
97,Place opportunity relate,Slice of Life,16,Special,Kyoto Animation,Game,7.45,8068,1823,15710,2021-11-26,2026-09-26,27,Tuesday,"Kadokawa, Shueisha",Sentai Filmworks,7.45,6457,"Improve budget cold cultural energy security local. Voice plant music here inside. Risk far necessary behind detail.
Range account stuff guy the agency voice. Third some security."
98,Our knowledge similar magazine,"Mystery, Comedy, Drama",12,ONA,Sunrise,Webtoon,9.45,5735,487281,24034,2019-03-24,2029-05-18,53,Monday,"Kodansha, Bandai Namco","Netflix, Funimation",5.42,12034,"Top century low man social safe help. There indeed live question college. Decade which see plant conference edge commercial.
She station international seat."
99,War bit there,"Mystery, Supernatural",39,Special,MAPPA,Light Novel,7.23,2234,62419,21885,2024-03-14,2027-06-07,54,Saturday,Kodansha,Netflix,5.47,6966,"There note business enjoy financial himself after edge.
Detail community might daughter. Officer family produce material cell there political."
100,Some development lose,"Action, Romance",16,TV,Ufotable,Game,6.8,385,731509,45562,2021-05-08,2025-07-17,30,Saturday,Bandai Namco,"Crunchyroll, Viz Media",8.16,9544,"Possible receive opportunity let probably line. Check whose water. Stop person tonight manager measure.
Organization get player than must society light. Home herself meeting threat drug return order."
101,Question century whom,"Drama, Adventure, Action",90,ONA,J.C.Staff,Original,9.77,1022,901585,14537,2023-12-28,2029-05-13,39,Thursday,Shueisha,Funimation,6.64,18793,"Worry either identify thing contain assume garden.
Score remember analysis me interview. Fine space close system cup. Various specific upon those enough than by. Take structure actually friend hard."
102,General difficult,"Adventure, Comedy, Horror",53,Movie,Toei Animation,Webtoon,7.9,3975,646066,6159,2023-01-13,2026-07-13,45,Thursday,"Shueisha, Bandai Namco",Sentai Filmworks,9.44,15309,Improve same low its arm newspaper. Read stand throw long stay. Product will building.
103,World story,"Supernatural, Fantasy, Adventure",10,Special,Ufotable,Game,5.43,8126,301270,32490,2016-04-17,2025-04-16,38,Sunday,"Kadokawa, TV Tokyo",Funimation,7.79,11746,Baby bad ever general her yeah close. Group friend budget here. Maybe three sport college environment audience issue.
104,Member media today poor,"Fantasy, Horror",56,Movie,Kyoto Animation,Visual Novel,7.16,5418,67877,40390,2018-12-11,2028-04-11,58,Tuesday,Aniplex,Funimation,8.42,12023,"About skill trip term. Win well official purpose.
There other key piece plant factor. Focus indeed we the. Face year religious water occur fast safe. Alone skill food."
105,Make light,"Horror, Adventure, Mystery",81,OVA,MAPPA,Manga,6.88,1722,91841,4056,2021-11-14,2028-09-24,48,Wednesday,"Shueisha, Aniplex",Viz Media,6.95,5472,Physical buy surface just appear five. Food newspaper usually news though tonight.
106,Family turn small,Sci-Fi,70,OVA,Sunrise,Webtoon,5.66,5045,284868,35281,2024-12-30,2028-10-06,51,Friday,"TV Tokyo, Kadokawa","Sentai Filmworks, Netflix",9.14,12582,"Training agreement give. Lose reveal writer fear. Finally himself school onto stage or imagine camera.
During husband whole bar head hear create hope. Need enough still generation owner kitchen."
107,Society make,"Fantasy, Mystery, Horror",50,TV,J.C.Staff,Light Novel,7.35,1262,193283,5400,2018-11-28,2028-03-04,19,Saturday,TV Tokyo,Sentai Filmworks,7.95,2128,Machine treat approach baby leader son. Seven yet husband few stay me thank. Another area decide school course girl.
108,Process,"Adventure, Slice of Life, Mystery",88,Special,Toei Animation,Manga,8.41,6153,286864,43861,2016-01-12,2027-06-13,59,Wednesday,"Bandai Namco, Aniplex","Funimation, Netflix",7.62,571,"National personal heavy vote adult only tell. Outside management campaign system parent analysis. Either impact hit same quite.
Care realize fall. Feel nearly and long stock chair."
109,Laugh kind and,Drama,84,Special,Kyoto Animation,Visual Novel,5.11,3415,969471,20384,2018-12-17,2029-01-14,12,Wednesday,"Kadokawa, Shueisha","Viz Media, Funimation",6.65,9237,"Writer see strategy plan. Eight ability church identify apply too need. Grow send system consumer feel.
Treat window protect thus century hit evening. South top small write."
110,Common until though,"Sci-Fi, Fantasy, Drama",9,OVA,Toei Animation,Visual Novel,5.03,1385,594587,17495,2019-02-23,2030-02-10,24,Sunday,"Kadokawa, TV Tokyo",Viz Media,5.49,10951,"Machine a job tough together itself. Boy could down. Body matter pressure decade.
Hotel before plan power cut. Total rule again watch care almost night. Beat successful this state."
111,Left size,"Horror, Adventure",46,Movie,Bones,Visual Novel,8.84,8922,21781,13791,2023-08-14,2027-10-01,27,Monday,TV Tokyo,Sentai Filmworks,6.54,7344,"Discuss turn difficult true what character yourself student. Point size drive there.
